claim,label
"Vaccines cause infertility in women.","INACCURATE"
"mRNA vaccines alter your DNA permanently.","INACCURATE"
"Vaccines contain microchips for tracking.","INACCURATE"
"Polio vaccine is a secret plot to sterilize children.","INACCURATE"
"COVID-19 vaccines are a bioweapon.","INACCURATE"
"HIV is caused by witchcraft or a curse.","INACCURATE"
"ARVs are poison designed to kill Africans.","INACCURATE"
"Herbs alone can cure malaria.","INACCURATE"
"Mosquito nets cause breathing problems.","INACCURATE"
"Malaria is caused by eating mangoes.","INACCURATE"
"Hospital deliveries are more dangerous than home births.","INACCURATE"
"Traditional birth attendants are safer than midwives.","INACCURATE"
"Breastfeeding always spreads HIV.","INACCURATE"
"5G towers spread COVID-19.","INACCURATE"
"Drinking alcohol kills the coronavirus.","INACCURATE"
"Garlic cures COVID-19.","INACCURATE"
"Routine childhood vaccines protect from polio and measles.","ACCURATE"
"Handwashing with soap prevents diarrhea.","ACCURATE"
"Mosquito nets are effective for malaria prevention.","ACCURATE"
"HIV is caused by a virus transmitted through blood.","ACCURATE"
"ARVs are life-saving medicines for HIV patients.","ACCURATE"
"Antenatal care visits help detect pregnancy complications.","ACCURATE"
"Deliver at a health facility with a skilled attendant.","ACCURATE"
"COVID-19 is a real infectious disease.","ACCURATE"
"I'm not sure if this new herbal tea cures HIV.","UNCERTAIN"
"Someone told me that certain fruits can prevent malaria but I'm not certain.","UNCERTAIN"
"There are rumors about a new vaccine side effect.","UNCERTAIN"
