id,name,type,latitude,longitude,contact
1,Mulago National Referral Hospital,National Hospital,0.3385,32.5761,+256 414 554001
2,Nsambya Hospital,Private Hospital,0.3082,32.5856,+256 414 267611
3,Entebbe Regional Referral Hospital,Regional Hospital,0.0577,32.4646,+256 414 320141
4,Kawempe National Referral Hospital,National Hospital,0.3521,32.5654,+256 414 554002
5,Mbarara Regional Referral Hospital,Regional Hospital,-0.6072,30.6545,+256 485 421234
6,Gulu Regional Referral Hospital,Regional Hospital,2.7747,32.2988,+256 471 432100
7,Kibuli Joint Mission Hospital,Private Hospital,0.3105,32.5964,+256 414 235678
8,Lubaga Hospital,Private Hospital,0.3015,32.5532,+256 414 270200
9,Jinja Regional Referral Hospital,Regional Hospital,0.4283,33.2081,+256 432 120560
10,Fort Portal Referral Hospital,Regional Hospital,0.6931,30.2741,+256 483 422026
11,Mbale Regional Referral Hospital,Regional Hospital,1.0772,34.1752,+256 454 433314
12,Soroti Regional Referral Hospital,Regional Hospital,1.7135,33.6111,+256 454 461011
13,Lacor Hospital Gulu,Mission Hospital,2.7562,32.2534,+256 471 435132
14,Lira Regional Referral Hospital,Regional Hospital,2.2471,32.8993,+256 473 420014
15,Kabale Regional Referral Hospital,Regional Hospital,-1.2522,29.9884,+256 486 422003
16,Hoima Regional Referral Hospital,Regional Hospital,1.4281,31.3533,+256 465 440004
17,Arua Regional Referral Hospital,Regional Hospital,3.0232,30.9112,+256 476 420005
18,Moroto Regional Referral Hospital,Regional Hospital,2.5312,34.6644,+256 454 470002
19,Masaka Regional Referral Hospital,Regional Hospital,-0.3348,31.7368,+256 481 420003
20,Tororo District Hospital,District Hospital,0.6932,34.1814,+256 454 445002
21,Iganga District Hospital,District Hospital,0.6113,33.4686,+256 432 244001
22,Kamuli District Hospital,District Hospital,0.9473,33.1188,+256 432 264000
23,Rukungiri District Hospital,District Hospital,-0.8413,29.9444,+256 486 424001
24,Bushenyi District Hospital,District Hospital,-0.5557,30.1874,+256 485 424002
25,Pallisa District Hospital,District Hospital,1.1450,33.7096,+256 454 465001
26,Rakai District Hospital,District Hospital,-0.7190,31.4091,+256 481 422003
27,Mukono District Hospital,District Hospital,0.3537,32.7563,+256 414 290011
28,Wakiso Health Center IV,Health Center IV,0.4001,32.4585,+256 414 310001
29,Nakasero Hospital,Private Hospital,0.3271,32.5798,+256 414 230000
