name,quantity,unit,minimumThreshold,lastUpdated
Coartem (Artemether/Lumefantrine),150,doses,50,2026-06-01T11:27:00Z
Paracetamol 500mg,500,tablets,100,2026-06-01T11:27:00Z
Amoxicillin 250mg,40,capsules,100,2026-06-01T11:27:00Z
ORS Sachets,200,sachets,50,2026-06-01T11:27:00Z
Zinc Sulfate 20mg,120,tablets,40,2026-06-01T11:27:00Z
Malaria Rapid Diagnostic Test (RDT) Kits,300,kits,75,2026-06-01T11:27:00Z
HIV Rapid Test Strips,150,strips,50,2026-06-01T11:27:00Z
Iron + Folic Acid Supplements,400,tablets,100,2026-06-01T11:27:00Z
Tetanus Toxoid Vaccine,50,vials,20,2026-06-01T11:27:00Z
Artesunate Injection 60mg,25,vials,10,2026-06-01T11:27:00Z
Ceftriaxone Injection 1g,30,vials,15,2026-06-01T11:27:00Z
Albendazole 400mg (Dewormer),180,tablets,50,2026-06-01T11:27:00Z
Male Condoms,1000,pieces,300,2026-06-01T11:27:00Z
Disposable Syringes 5ml,500,pieces,100,2026-06-01T11:27:00Z
Medical Sterile Gloves,10,boxes,3,2026-06-01T11:27:00Z
Clean Delivery Kits (Maama Kits),35,kits,15,2026-06-01T11:27:00Z
Metronidazole 400mg,240,tablets,60,2026-06-01T11:27:00Z
Vitamin A Capsules 100000 IU,150,capsules,50,2026-06-01T11:27:00Z
Oxytocin Injection 10 IU/ml,80,vials,30,2026-06-01T11:27:00Z
Magnesium Sulfate 50% Injection,40,vials,15,2026-06-01T11:27:00Z
Misoprostol 200mcg,120,tablets,40,2026-06-01T11:27:00Z
RHZE (Tuberculosis Anti-TB Regimen),90,doses,30,2026-06-01T11:27:00Z
RH (Tuberculosis Continuation Phase),180,doses,60,2026-06-01T11:27:00Z
Amoxicillin Suspension 125mg/5ml,60,bottles,20,2026-06-01T11:27:00Z
Cotrimoxazole Suspension 240mg/5ml,50,bottles,15,2026-06-01T11:27:00Z
Tenofovir/Lamivudine/Dolutegravir (TLG HIV Therapy),300,doses,100,2026-06-01T11:27:00Z
Nevirapine Suspension 10mg/ml,45,bottles,10,2026-06-01T11:27:00Z
Surgical Sutures (Chromic Catgut 2-0),100,pieces,30,2026-06-01T11:27:00Z
Surgical Gauze Rolls,15,rolls,5,2026-06-01T11:27:00Z
Scalpel Blades (Size 22),200,pieces,50,2026-06-01T11:27:00Z
Povidone Iodine Solution 10%,10,bottles,3,2026-06-01T11:27:00Z
Chlorhexidine Gluconate 4% Gel,80,tubes,25,2026-06-01T11:27:00Z
Ringer's Lactate Infusion 500ml,100,bottles,30,2026-06-01T11:27:00Z
Normal Saline Infusion 0.9% 500ml,150,bottles,40,2026-06-01T11:27:00Z
Dextrose 5% Infusion 500ml,80,bottles,20,2026-06-01T11:27:00Z
Artesunate Rectal Capsules 50mg,35,capsules,15,2026-06-01T11:27:00Z
Ciprofloxacin 500mg,150,tablets,50,2026-06-01T11:27:00Z
Doxycycline 100mg,100,capsules,30,2026-06-01T11:27:00Z
Erythromycin 250mg,120,tablets,40,2026-06-01T11:27:00Z
Gentamicin Injection 80mg/2ml,60,vials,20,2026-06-01T11:27:00Z
Ampicillin 500mg Injection,100,vials,30,2026-06-01T11:27:00Z
Ibuprofen 400mg,400,tablets,100,2026-06-01T11:27:00Z
Folic Acid 5mg,300,tablets,80,2026-06-01T11:27:00Z
Salbutamol Inhaler 100mcg,25,inhalers,10,2026-06-01T11:27:00Z
Beclomethasone Inhaler 100mcg,15,inhalers,5,2026-06-01T11:27:00Z
Insulin Soluble 100 IU/ml,20,vials,8,2026-06-01T11:27:00Z
Glibenclamide 5mg,180,tablets,50,2026-06-01T11:27:00Z
Metformin 500mg,300,tablets,100,2026-06-01T11:27:00Z
Captopril 25mg,200,tablets,50,2026-06-01T11:27:00Z
Nifedipine 20mg,150,tablets,40,2026-06-01T11:27:00Z
Bendroflumethiazide 5mg,120,tablets,30,2026-06-01T11:27:00Z
Diazepam 5mg/ml Injection,30,vials,10,2026-06-01T11:27:00Z
Phenobarbital 30mg,150,tablets,50,2026-06-01T11:27:00Z
Chlorpromazine 100mg,100,tablets,30,2026-06-01T11:27:00Z
Amitriptyline 25mg,120,tablets,40,2026-06-01T11:27:00Z
Morphine Oral Solution 10mg/5ml,10,bottles,3,2026-06-01T11:27:00Z
ORS + Zinc Co-pack,100,packs,30,2026-06-01T11:27:00Z
